Fcilty_typ,Address,Xcoord,Ycoord
BoA ATM,"197 Boston Tpk Rt 9
Shrewsbury MA 01545",-71.74507,-27.716316
BoA ATM,"1 Hartford Ave Route 140
Upton MA 01568",-71.62013,-27.526063
BoA ATM,"158 North Main St
Uxbridge MA 01569",-71.63887,-28.809506
BoA ATM,"50 East Main St
Westboro MA 01580",-71.61108,-27.977129
BoA ATM,"306 Turnpike Rd Route 9
Westborough MA 01581",-71.64841,-27.969399
BoA ATM,"35 Lyman St
Westborough MA 01581",-71.60707,-28.035252
BoA ATM,"91 W Boylston St
West Boylston MA 01583",-71.78385,-28.13551
BoA ATM,"139 Boston Rd
Sutton MA 01590",-71.73796,-28.19998
BoA ATM,"1 College St
Worcester MA 01600",-71.80833,-28.867655
BoA ATM,"104 Belmont St
Worcester MA 01600",-71.79247,-34.031886
BoA ATM,"443 Park Ave
Worcester MA 01600",-71.82463,-38.307719
BoA ATM,"490 Lincoln St
Worcester MA 01600",-71.7755,-16.94132
BoA ATM,"638 Chandler St
Worcester MA 01602",-71.85297,-17.954773
BoA ATM,"645 Park Ave
Worcester MA 01603",-71.83483,-41.43081154
BoA ATM,"349 Grafton St
Worcester MA 01604",-71.78565,-23.524792
BoA ATM,"945 Grafton St
Worcester MA 01604",-71.76038,-34.831851
BoA ATM,"29 West Boylston St
Worcester MA 01605",-71.80753,-34.598676
BoA ATM,"348 Greenwood/route 20
Worcester MA 01607",-71.79608,-20.725591
BoA ATM,"11 Foster St
Worcester MA 01608",-71.80079,-34.284181
BoA ATM,"33 Central St
Worcester MA 01608",-71.79771,-37.831071
BoA ATM,"365 Main Street
Worcester MA 01608",-71.80148,-31.958137
BoA ATM,"100 Front St
Worcester MA 01609",-71.79958,-38.34492219
BoA ATM,"255 Park Ave
Worcester MA 01609",-71.8185,-37.74252
BoA ATM,"95 Highland Ave
Worcester MA 01609",-71.80625,-34.184836
BoA ATM,"116 Milbury St
Worcester MA 01610",-71.79959,-36.713124
BoA ATM,"Aaron Lazare Medical Research Building
Worcester MA 01655",-71.76393,-38.382203
BoA ATM,"100 State St
Framingham MA 01701",-71.43721,-37.28385
BoA ATM,"120 Concord St
Framingham MA 01701",-71.41691,-35.345529
BoA ATM,"15 School St
Framingham MA 01701",-71.39562,-38.33825147
BoA ATM,"1610 Worcester Rd
Framingham MA 01701",-71.46948,-37.560788
BoA ATM,"341 Cochituate Rd
Framingham MA 01701",-71.40194,-36.761909
BoA ATM,"41 Beacon St
Framingham MA 01701",-71.40862,-38.207802
BoA ATM,"417 Waverly St
Framingham MA 01701",-71.41708,-38.065907
BoA ATM,"669 Worcester Rd
Framingham MA 01701",-71.42596,-37.847036
BoA ATM,"770 Water St
Framingham MA 01701",-71.43533,-37.769003
BoA ATM,"1270 Worcester Rd
Framingham MA 01702",-71.44915,-37.884814
BoA ATM,"324 Great Rd
Acton MA 01718",-71.42053,-37.740269
BoA ATM,"422 Massachusetts Ave
Acton MA 01718",-71.45315,-37.918511
BoA ATM,"271 Great Rd
Acton MA 01720",-71.41627,-38.223101
BoA ATM,"411 Massachusetts Ave
Acton MA 01720",-71.45159,-37.960987
BoA ATM,"300 Eliot St
Ashland MA 01721",-71.4327,-37.831345
BoA ATM,"390 Union St Route 135
Ashland MA 01721",-71.46629,-37.88635881
BoA ATM,"152 Great Rd
Bedford MA 01730",-71.27442,-37.703998
BoA ATM,"174 Middlesex Tnpk
Bedford MA 01730",-71.25331,-37.818999
BoA ATM,"353a Great Rd
Bedford MA 01730",-71.26076,-38.14062238
BoA ATM,"591 Springs Rd
Bedford MA 01730",-71.27416,-37.775535
BoA ATM,"476 Main St Route 117
Bolton MA 01740",-71.59144,-37.936642
BoA ATM,"7 Westford St
Carlisle MA 01741",-71.34899,-37.876681
BoA ATM,"24 Commonwealth Ave
West Concord MA 01742",-71.39317,-37.83470177
BoA ATM,"52 Main St
Concord MA 01742",-71.35071,-37.990225
BoA ATM,"84 Thoreau St
Concord MA 01742",-71.35733,-37.815148
BoA ATM,"5 Main St Route 30 West
Southboro MA 01745",-71.52466,-37.868979
BoA ATM,"414 Washington St
Holliston MA 01746",-71.42602,-38.101752
BoA ATM,"77 West Main St
Hopkinton MA 01748",-71.54029,-38.023447
BoA ATM,"10 Technology Dr
Hudson MA 01749",-71.56432,-37.760394
BoA ATM,"190 Boston Post Rd
West Marlborough MA 01752",-71.58992,-36.37983
BoA ATM,"223 East Main St
Marlborough MA 01752",-71.53608,-17.265034
BoA ATM,"42 Boston Post Rd
Marlboro MA 01752",-71.52909,-16.83848737
BoA ATM,"601 Donald Lynch Blvd
Marlborough MA 01752",-71.61189,-16.926226
BoA ATM,"601 Donald Lynch Blvd
Marlborough MA 01752",-71.61199,-41.051096
BoA ATM,"25 Nason St
Maynard MA 01754",-71.45335,-38.163253
BoA ATM,"124 Medway Rd
Milford MA 01757",-71.48903,-17.524061
BoA ATM,"209 E Main St
Milford MA 01757",-71.49981,-34.28791
BoA ATM,"82 Prospect St
Milford MA 01757",-71.53507,-18.647932
BoA ATM,"1200 Worcester Rd
Natick MA 01760",-71.38556,-36.356378
